Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,btype,force.cmsy,Comment
IOTC,Indian Ocean,1,pelagic,SMAIOTC_scaledCPUE_JPN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1971,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,2,pelagic,SMAIOTC_scaledCPUE_SPN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1971,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,3,pelagic,SMAIOTC_scaledCPUE_TWN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1971,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,4,pelagic,SMAIOTC_scaledCPUE_POR,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1971,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,5,pelagic,SMAIOTC,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1964,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,None,T,
IOTC,Indian Ocean,6,pelagic,SMAIOTC,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1971,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,None,T,
IOTC,Indian Ocean,7,pelagic,SMAIOTC_scaledCPUE_JPN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1964,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,8,pelagic,SMAIOTC_scaledCPUE_SPN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1964,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,9,pelagic,SMAIOTC_scaledCPUE_TWN,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1964,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
IOTC,Indian Ocean,10,pelagic,SMAIOTC_scaledCPUE_POR,Shortfin Mako shark,Isurus oxyrinchus,,1964,2018,1964,2018,NA,0.0081,0.0484,0.4,0.9,2000,0.1,0.9,0.2,0.7,2000,2018,CPUE,F ,
